replies_count,retweets_count,likes_count,date,High,Low,average_stock
107,60,2064,2021-04-09,680.969971,669.429993,675.199982
258,115,2383,2021-04-09,680.969971,669.429993,675.199982
200,195,4882,2021-04-09,680.969971,669.429993,675.199982
589,1953,30045,2021-04-09,680.969971,669.429993,675.199982
514,654,5289,2021-04-09,680.969971,669.429993,675.199982
1012,938,33126,2021-04-09,680.969971,669.429993,675.199982
1962,3646,54832,2021-04-09,680.969971,669.429993,675.199982
151,76,3018,2021-04-09,680.969971,669.429993,675.199982
65,42,1640,2021-04-09,680.969971,669.429993,675.199982
5939,32914,330650,2021-04-09,680.969971,669.429993,675.199982
7118,11396,219516,2021-04-09,680.969971,669.429993,675.199982
337,215,6502,2021-04-09,680.969971,669.429993,675.199982
157,182,6035,2021-04-09,680.969971,669.429993,675.199982
43,69,2312,2021-04-09,680.969971,669.429993,675.199982
2840,4826,76113,2021-04-09,680.969971,669.429993,675.199982
271,176,7042,2021-04-09,680.969971,669.429993,675.199982
1747,2663,52717,2021-04-09,680.969971,669.429993,675.199982
131,149,2636,2021-04-09,680.969971,669.429993,675.199982
1900,5987,79517,2021-04-09,680.969971,669.429993,675.199982
153,95,4235,2021-04-09,680.969971,669.429993,675.199982
6056,20066,172694,2021-04-09,680.969971,669.429993,675.199982
204,195,4356,2021-04-09,680.969971,669.429993,675.199982
148,97,4642,2021-04-09,680.969971,669.429993,675.199982
4436,15267,129156,2021-04-09,680.969971,669.429993,675.199982
454,467,4081,2021-04-08,689.549988,671.650024,680.600006
152,121,2352,2021-04-08,689.549988,671.650024,680.600006
71,79,2040,2021-04-08,689.549988,671.650024,680.600006
192,254,5524,2021-04-08,689.549988,671.650024,680.600006
5384,6225,187065,2021-04-08,689.549988,671.650024,680.600006
264,99,3043,2021-04-07,691.380005,667.840027,679.610016
595,266,5548,2021-04-07,691.380005,667.840027,679.610016
243,65,4898,2021-04-07,691.380005,667.840027,679.610016
11380,14661,194117,2021-04-07,691.380005,667.840027,679.610016
271,164,3978,2021-04-07,691.380005,667.840027,679.610016
220,248,8430,2021-04-07,691.380005,667.840027,679.610016
167,72,2743,2021-04-07,691.380005,667.840027,679.610016
401,220,3270,2021-04-07,691.380005,667.840027,679.610016
850,1592,38365,2021-04-07,691.380005,667.840027,679.610016
146,126,2832,2021-04-07,691.380005,667.840027,679.610016
285,258,4246,2021-04-07,691.380005,667.840027,679.610016
98,122,2611,2021-04-07,691.380005,667.840027,679.610016
5928,5227,133783,2021-04-06,696.549988,681.369995,688.9599915
1895,986,17049,2021-04-06,696.549988,681.369995,688.9599915
521,363,9508,2021-04-06,696.549988,681.369995,688.9599915
392,384,15471,2021-04-05,708.159973,684.700012,696.4299925
176,234,6163,2021-04-05,708.159973,684.700012,696.4299925
531,439,16196,2021-04-05,708.159973,684.700012,696.4299925
301,508,13228,2021-04-05,708.159973,684.700012,696.4299925
208,179,11755,2021-04-05,708.159973,684.700012,696.4299925
12108,22487,287309,2021-04-05,708.159973,684.700012,696.4299925
190,204,11455,2021-04-05,708.159973,684.700012,696.4299925
227,151,5828,2021-04-05,708.159973,684.700012,696.4299925
384,912,13840,2021-04-05,708.159973,684.700012,696.4299925
7613,14237,216914,2021-04-05,708.159973,684.700012,696.4299925
382,514,16143,2021-04-05,708.159973,684.700012,696.4299925
256,260,7238,2021-04-05,708.159973,684.700012,696.4299925
232,130,2882,2021-04-05,708.159973,684.700012,696.4299925
